time,x,y,z
653935,0.7087,0.4405,9.8067,
653985,0.7087,0.4405,9.8067,
654036,0.7087,0.4405,9.8067,
654086,0.7087,0.4405,9.7875,
654135,0.7087,0.4405,9.8258,
654185,0.7087,0.4405,9.8067,
654236,0.7087,0.4405,9.8067,
654286,0.7087,0.4405,9.8258,
654335,0.7087,0.4405,9.8258,
654385,0.7087,0.4597,9.8067,
654436,0.7087,0.4405,9.8067,
654485,0.7087,0.4405,9.8067,
654535,0.7278,0.4405,9.8067,
654585,0.7087,0.4597,9.8067,
654636,0.7278,0.4597,9.8067,
654686,0.7087,0.4405,9.8258,
654735,0.7278,0.4405,9.8067,
654785,0.7278,0.4597,9.8067,
654836,0.7087,0.4405,9.8258,
654886,0.7087,0.4405,9.7875,
654935,0.7087,0.4405,9.8067,
654985,0.7087,0.4405,9.8067,
655035,0.7278,0.4405,9.8067,
655085,0.7278,0.4405,9.8067,
655135,0.7278,0.4214,9.8067,
655185,0.7087,0.4405,9.8258,
655235,0.7087,0.4405,9.8067,
655286,0.7087,0.4405,9.8067,
655335,0.7087,0.4405,9.8067,
655385,0.7087,0.4597,9.8258,
655436,0.7087,0.4405,9.8258,
655485,0.7087,0.4405,9.7875,
655535,0.7278,0.4405,9.8067,
655585,0.7278,0.4214,9.8067,
655635,0.7087,0.4405,9.8067,
655686,0.7087,0.4597,9.8067,
655735,0.7087,0.4405,9.8067,
655784,0.7278,0.4405,9.8067,
655836,0.7278,0.4405,9.8067,
655886,0.7278,0.4405,9.8258,
655935,0.7278,0.4405,9.8067,
655985,0.7087,0.4405,9.8067,
656036,0.7278,0.4405,9.8258,
656086,0.7278,0.4405,9.8067,
656135,0.7278,0.4405,9.8067,
656185,0.7087,0.4405,9.8067,
656235,0.7278,0.4405,9.8067,
656286,0.7278,0.4405,9.7875,
656335,0.7278,0.4405,9.8258,
656384,0.7278,0.4597,9.8067,
656436,0.7278,0.4405,9.7875,
656484,0.7087,0.4405,9.8067,
656534,0.7278,0.4405,9.8067,
656584,0.7278,0.4405,9.8067,
656633,0.7278,0.4405,9.8067,
656683,0.7278,0.4405,9.8067,
656733,0.7278,0.4405,9.8067,
656792,0.7278,0.4405,9.8067,
656845,0.7278,0.4214,9.8067,
656893,0.7278,0.4405,9.8067,
656950,0.7087,0.4405,9.8067,
656993,0.7278,0.4405,9.8067,
657043,0.7087,0.4597,9.8067,
657093,0.7278,0.4405,9.8067,
657143,0.7278,0.4405,9.8067,
657193,0.7278,0.4597,9.8067,
657243,0.7087,0.4405,9.8258,
657293,0.7087,0.4597,9.8067,
657343,0.7278,0.4214,9.8258,
657393,0.7278,0.4597,9.8067,
657444,0.7087,0.4597,9.8258,
657495,0.7278,0.4405,9.8067,
657545,0.7278,0.4405,9.7875,
657594,0.7278,0.4405,9.8067,
657644,0.7278,0.4405,9.8067,
657695,0.7278,0.4405,9.8067,
657745,0.7278,0.4405,9.8067,
657795,0.7087,0.4214,9.8067,
657846,0.7278,0.4405,9.8067,
657893,0.7087,0.4405,9.8067,
657944,0.7278,0.4405,9.8067,
657995,0.7470,0.4405,9.8067,
658044,0.7087,0.4405,9.8067,
658093,0.7278,0.4405,9.8258,
658145,0.7278,0.4597,9.8067,
658196,0.7278,0.4597,9.7875,
658246,0.7087,0.4405,9.8067,
658293,0.7278,0.4405,9.8067,
658343,0.7278,0.4405,9.8258,
658396,0.7278,0.4405,9.8258,
658443,0.7087,0.4405,9.8067,
658493,0.7278,0.4597,9.8067,
658543,0.7278,0.4405,9.8067,
658593,0.7278,0.4405,9.8067,
658643,0.7278,0.4405,9.8067,
658693,0.7087,0.4214,9.8067,
658743,0.7087,0.4405,9.7875,
658794,0.7087,0.4405,9.8067,
658846,0.7278,0.4405,9.8067,
658893,0.7278,0.4405,9.7875,
658944,0.7087,0.4405,9.8067,
658994,0.7278,0.4405,9.8067,
659045,0.7278,0.4405,9.8067,
659095,0.7278,0.4405,9.8067,
659145,0.7087,0.4405,9.8258,
659196,0.7278,0.4597,9.8067,
659243,0.7087,0.4405,9.8258,
659295,0.7087,0.4405,9.8067,
659345,0.7087,0.4405,9.7875,
659395,0.7278,0.4597,9.8067,
659445,0.7087,0.4405,9.8067,
659495,0.7278,0.4405,9.8258,
659545,0.7278,0.4405,9.8067,
659595,0.7278,0.4405,9.8258,
659646,0.7278,0.4405,9.8067,
659695,0.7087,0.4405,9.8067,
659745,0.7278,0.4405,9.8067,
659795,0.7278,0.4405,9.8067,
659846,0.7278,0.4405,9.8067,
659894,0.7278,0.4405,9.8067,
659945,0.7278,0.4405,9.8067,
659995,0.7087,0.4405,9.8067,
660045,0.7087,0.4597,9.8258,
